index,values
0,78
1,69
2,159
3,99
4,-102
5,56
6,134
7,119
8,-30
9,-42
10,85
11,-143
12,-103
13,33
14,110
15,153
16,-23
17,-89
18,-2
19,-129
20,94
21,84
22,-143
23,-16
24,7
25,-18
26,-118
27,-91
28,-17
29,-103
30,22
31,91
32,120
33,-14
34,102
35,-99
36,-12
37,-140
38,145
39,-73
40,-138
41,-155
42,-55
43,119
44,-102
45,36
46,-59
47,17
48,3
49,-42
50,31
51,-135
52,17
53,102
54,-5
55,25
56,-152
57,112
58,-70
59,77
60,-117
61,-105
62,-98
63,130
64,-5
65,137
66,60
67,54
68,36
69,47
70,-126
71,59
72,-146
73,-80
74,-32
75,141
76,128
77,-151
78,-142
79,11
80,63
81,107
82,38
83,-16
84,-93
85,-96
86,-127
87,-27
88,145
89,16
90,-22
91,63
92,33
93,70
94,109
95,0
96,-57
97,-96
98,-39
99,72
100,154
101,-33
102,-96
103,32
104,66
105,-65
106,-81
107,-36
108,-58
109,143
110,-1
111,46
112,-90
113,-80
114,-58
115,79
116,-144
117,-41
118,46
119,66
120,-11
121,52
122,-144
123,-160
124,31
125,141
126,133
127,118
128,13
129,-98
130,-68
131,3
132,-69
133,-137
134,-124
135,-26
136,-112
137,145
138,13
139,-79
140,3
141,-114
142,-57
143,25
144,35
145,-84
146,66
147,127
148,130
149,88
150,91
151,-133
152,-24
153,-9
154,-141
155,142
156,15
157,139
158,15
159,-10
160,-145
161,-138
162,-155
163,-23
164,144
165,-15
166,123
167,26
168,40
169,-142
170,-132
171,-112
172,-23
173,140
174,-61
175,62
176,25
177,-58
178,-90
179,45
180,26
181,-74
182,-47
183,-125
184,9
185,6
186,-54
187,-72
188,-141
189,-93
190,142
191,133
192,124
193,-46
194,-82
195,56
196,-72
197,-5
198,118
199,13
