index,values
0,-64
1,-1
2,70
3,-38
4,78
5,-16
6,11
7,-35
8,128
9,-154
10,-60
11,26
12,24
13,73
14,-94
15,149
16,-37
17,10
18,118
19,-90
20,29
21,108
22,-128
23,-64
24,37
25,40
26,-86
27,-127
28,-4
29,134
30,-2
31,-21
32,-60
33,-60
34,96
35,-91
36,128
37,-41
38,105
39,153
40,-94
41,20
42,134
43,-69
44,47
45,118
46,-143
47,18
48,18
49,-75
50,88
51,-69
52,-146
53,-12
54,-83
55,159
56,-51
57,-40
58,156
59,60
60,105
61,-89
62,-137
63,82
64,65
65,107
66,-78
67,-154
68,36
69,40
70,90
71,-150
72,-150
73,62
74,-29
75,-109
76,110
77,-156
78,-111
79,31
80,-53
81,-1
82,-151
83,-25
84,13
85,-85
86,-80
87,-70
88,69
89,66
90,-60
91,159
92,-95
93,48
94,132
95,131
96,99
97,-41
98,113
99,45
100,91
101,43
102,3
103,-112
104,140
105,24
106,-96
107,-50
108,-154
109,7
110,128
111,-91
112,-6
113,-8
114,-17
115,92
116,-54
117,-134
118,74
119,146
120,9
121,48
122,137
123,-109
124,-20
125,-105
126,105
127,24
128,74
129,-37
130,160
131,-126
132,-145
133,88
134,-94
135,-33
136,11
137,153
138,-13
139,119
140,-32
141,-13
142,19
143,12
144,37
145,-26
146,-34
147,36
148,10
149,29
150,114
151,-36
152,99
153,-2
154,147
155,104
156,-87
157,-114
158,-130
159,-10
160,32
161,54
162,-71
163,-29
164,2
165,-23
166,126
167,-154
168,-106
169,-93
170,-49
171,129
172,-14
173,-77
174,86
175,32
176,96
177,75
178,-100
179,-123
180,-14
181,-46
182,15
183,-43
184,-82
185,-87
186,121
187,-14
188,-63
189,-145
190,61
191,-109
192,-100
193,151
194,108
195,-14
196,-120
197,133
198,-56
199,-152
200,-14
201,19
202,-95
203,66
204,-75
205,101
206,74
207,-39
208,70
209,88
210,56
211,-100
212,121
213,70
214,-129
215,113
216,-50
217,52
218,-121
219,135
220,134
221,18
222,-32
223,31
224,-69
225,-127
226,-99
227,136
228,-1
229,28
230,-146
231,-132
232,-100
233,66
234,-134
235,2
236,18
237,50
238,-158
239,71
240,-156
241,28
242,-62
243,31
244,138
245,1
246,139
247,-100
248,20
249,159
250,139
251,47
252,61
253,151
254,-104
255,40
256,-9
257,125
258,6
259,-131
260,-77
261,57
262,80
263,-139
264,80
265,-117
266,-81
267,-141
268,-106
269,4
270,-51
271,-82
272,-16
273,82
274,-77
275,-107
276,20
277,94
278,-4
279,-10
280,-71
281,-80
282,-84
283,47
284,31
285,135
286,-146
287,71
288,-66
289,53
290,67
291,-92
292,-42
293,-143
294,-101
295,78
296,-48
297,-16
298,-83
299,15
300,-136
301,-76
302,-101
303,-2
304,152
305,76
306,153
307,43
308,37
309,98
310,15
311,84
312,-86
313,-41
314,-97
315,119
316,-21
317,-142
318,-134
319,-128
320,102
321,-86
322,-25
323,117
324,98
325,-48
326,-42
327,160
328,-41
329,123
330,-87
331,63
332,58
333,-144
334,-116
335,-134
336,103
337,-126
338,13
339,111
340,123
341,46
342,8
343,-14
344,53
345,-34
346,-107
347,-105
348,136
349,74
350,91
351,-52
352,44
353,35
354,-118
355,16
356,-6
357,-33
358,-87
359,-25
360,-47
361,-159
362,78
363,-94
364,-155
365,114
366,-92
367,-122
368,117
369,-53
370,-66
371,39
372,-114
373,31
374,-96
375,45
376,152
377,-32
378,-34
379,137
380,160
381,-80
382,-128
383,27
384,-6
385,101
386,113
387,-24
388,-60
389,57
390,-24
391,94
392,-89
393,-38
394,84
395,108
396,-128
397,-153
398,92
399,10
400,-122
401,-155
402,-154
403,-87
404,-125
405,115
406,-15
407,-1
408,-119
409,-112
410,139
411,-153
412,-148
413,-133
414,-49
415,-29
416,-87
417,-44
418,148
419,-51
420,-143
421,-100
422,-22
423,-1
424,147
425,151
426,-74
427,-9
428,-22
429,-4
430,-96
431,123
432,-87
433,-120
434,129
435,117
436,110
437,-11
438,11
439,136
440,1
441,-141
442,-59
443,61
444,-90
445,-70
446,-134
447,-56
448,99
449,130
450,76
451,105
452,102
453,108
454,34
455,21
456,71
457,-101
458,-100
459,23
460,78
461,-14
462,-46
463,102
464,6
465,113
466,111
467,149
468,38
469,-147
470,-137
471,-110
472,83
473,126
474,-150
475,-158
476,-146
477,102
478,1
479,-32
480,-29
481,-87
482,87
483,-47
484,98
485,89
486,-126
487,127
488,156
489,-86
490,-119
491,118
492,80
493,-20
494,-108
495,-76
496,105
497,138
498,138
499,115
