index,values,weights
0,155,37
1,115,129
2,127,131
3,-152,80
4,28,31
5,-2,40
6,138,147
7,0,66
8,64,130
9,65,147
10,147,120
11,37,131
12,61,70
13,-25,117
14,110,7
15,-117,105
16,109,142
17,127,125
18,28,63
19,147,46
20,77,61
21,142,27
22,-154,150
23,-23,125
24,146,26
25,-22,128
26,-81,12
27,22,145
28,93,69
29,-54,94
30,15,62
31,-38,63
32,-117,4
33,-1,6
34,131,96
35,-154,122
36,-71,136
37,17,144
38,54,73
39,57,82
40,67,136
41,2,48
42,96,25
43,-74,75
44,99,80
45,-35,119
46,-102,133
47,17,84
48,-140,123
49,77,83
50,-158,108
51,-105,21
52,20,100
53,-36,50
54,-75,78
55,121,122
56,-56,10
57,156,6
58,-69,40
59,46,126
60,132,92
61,121,27
62,-37,160
63,148,160
64,-159,27
65,111,41
66,60,31
67,-155,24
68,26,158
69,-75,107
70,-132,131
71,123,87
72,65,106
73,-126,47
74,-91,76
75,68,71
76,-70,51
77,54,39
78,137,43
79,-128,64
80,128,156
81,66,75
82,34,19
83,154,116
84,-114,65
85,-72,130
86,20,120
87,-29,35
88,-54,108
89,-143,19
90,-78,3
91,-13,160
92,75,154
93,-4,132
94,-145,129
95,-125,60
96,-114,80
97,87,86
98,-160,42
99,-39,28
100,-107,135
101,41,139
102,9,160
103,76,37
104,153,47
105,1,27
106,-125,41
107,132,110
108,72,39
109,-82,65
110,-122,131
111,-42,131
112,64,11
113,52,131
114,-118,55
115,-6,60
116,-4,104
117,45,1
118,-120,51
119,-86,15
120,-105,93
121,150,26
122,74,31
123,-70,92
124,-36,22
125,79,6
126,-61,32
127,44,33
128,-33,65
129,95,11
130,-158,95
131,120,2
132,114,128
133,104,34
134,-52,47
135,-145,158
136,-114,102
137,-120,49
138,11,128
139,83,128
140,40,110
141,-103,136
142,69,4
143,-78,145
144,19,80
145,-48,119
146,-108,55
147,-110,95
148,-22,54
149,151,95
150,96,15
151,-78,86
152,-94,117
153,-35,98
154,-107,78
155,-148,133
156,-94,54
157,-96,56
158,-146,56
159,-91,27
160,-81,61
161,30,130
162,-125,79
163,-20,51
164,32,141
165,-122,105
166,-119,53
167,-55,34
168,41,40
169,127,37
170,-3,91
171,17,47
172,110,127
173,-5,78
174,-158,126
175,-41,52
176,-124,62
177,98,117
178,-109,143
179,82,151
180,4,127
181,48,61
182,78,123
183,84,110
184,-57,124
185,-17,10
186,126,78
187,-138,137
188,131,11
189,126,37
190,20,17
191,-66,148
192,45,144
193,-74,139
194,17,39
195,-34,50
196,-15,67
197,56,33
198,-85,76
199,47,20
200,13,18
201,-45,115
202,52,149
203,-20,24
204,-106,15
205,10,67
206,-135,136
207,83,110
208,83,50
209,-12,61
210,-110,5
211,-52,121
212,47,144
213,18,139
214,33,92
215,83,67
216,83,151
217,-146,151
218,-132,90
219,-43,79
220,145,84
221,17,94
222,113,63
223,56,134
224,84,57
225,50,10
226,-1,113
227,-80,94
228,-119,2
229,-158,76
230,36,94
231,-129,132
232,127,80
233,120,84
234,55,153
235,-53,45
236,128,121
237,99,6
238,-146,67
239,139,70
240,55,131
241,-96,104
242,52,66
243,-144,35
244,106,156
245,42,45
246,77,150
247,126,143
248,-50,11
249,-46,97
250,37,52
251,-113,72
252,153,80
253,-77,121
254,-127,113
255,-33,110
256,-22,79
257,58,3
258,14,81
259,136,157
260,-22,3
261,53,54
262,-40,132
263,-69,106
264,137,29
265,26,27
266,25,129
267,-37,11
268,151,77
269,0,38
270,95,58
271,-80,82
272,73,89
273,123,121
274,-131,65
275,30,106
276,-60,12
277,118,55
278,-126,72
279,107,109
280,33,74
281,77,46
282,-130,19
283,-10,97
284,-110,107
285,57,156
286,-11,117
287,-27,77
288,-4,38
289,64,43
290,62,67
291,60,21
292,21,108
293,-156,62
294,-124,40
295,-94,58
296,65,152
297,98,23
298,-9,65
299,-96,39
300,87,19
301,-19,38
302,-135,13
303,83,152
304,92,29
305,-41,101
306,-94,129
307,-79,18
308,58,101
309,50,125
310,-158,12
311,61,35
312,134,10
313,81,123
314,60,24
315,-135,58
316,-24,70
317,-22,152
318,78,96
319,32,134
320,98,28
321,-133,154
322,99,1
323,-17,131
324,15,148
325,104,48
326,-72,64
327,-22,91
328,-134,134
329,-42,153
330,138,129
331,-52,58
332,-89,46
333,-92,38
334,-57,75
335,-17,42
336,-30,76
337,9,75
338,-138,81
339,3,126
340,33,24
341,147,91
342,-46,131
343,-100,95
344,75,62
345,140,44
346,-73,134
347,67,157
348,-133,82
349,-98,116
350,136,118
351,-117,79
352,52,139
353,2,54
354,158,104
355,-106,29
356,-29,121
357,128,111
358,-51,64
359,-71,111
360,-51,20
361,-32,83
362,-74,33
363,125,159
364,-66,114
365,-66,90
366,25,152
367,18,88
368,-144,139
369,58,94
370,-84,106
371,-127,117
372,71,122
373,81,83
374,50,155
375,153,137
376,-64,91
377,-112,147
378,0,109
379,56,151
380,86,38
381,154,146
382,26,157
383,121,114
384,-97,150
385,-91,150
386,-50,80
387,-122,85
388,111,66
389,-79,8
390,105,106
391,15,142
392,-62,112
393,-159,129
394,84,93
395,-48,16
396,26,150
397,94,7
398,-6,146
399,-131,63
400,-101,25
401,80,10
402,126,104
403,23,67
404,-80,2
405,-154,29
406,-48,121
407,-23,40
408,-13,65
409,-123,49
410,-135,81
411,-65,47
412,-68,100
413,-28,79
414,9,60
415,-83,158
416,131,58
417,71,63
418,67,107
419,90,103
420,127,52
421,57,95
422,-143,86
423,62,43
424,-85,31
425,36,20
426,-37,140
427,118,95
428,130,132
429,84,26
430,-125,73
431,-39,70
432,160,99
433,-138,43
434,-116,147
435,99,118
436,-143,94
437,-156,79
438,86,86
439,-96,155
440,66,69
441,-139,103
442,130,32
443,-24,115
444,51,49
445,134,84
446,-23,113
447,139,38
448,137,60
449,28,48
450,20,64
451,-132,18
452,-45,72
453,-56,149
454,-136,23
455,-112,121
456,-120,127
457,-140,62
458,-86,128
459,-68,123
460,61,23
461,118,41
462,90,127
463,88,53
464,-5,153
465,-57,138
466,-93,82
467,51,32
468,-2,106
469,-64,82
470,-21,38
471,-123,30
472,-90,18
473,12,35
474,-105,87
475,82,2
476,-94,41
477,-133,28
478,117,24
479,-78,104
480,138,69
481,-146,113
482,134,39
483,24,124
484,-81,15
485,-147,72
486,128,10
487,-113,78
488,-137,41
489,-99,54
490,74,60
491,-154,58
492,-83,8
493,129,38
494,109,25
495,-32,71
496,-23,146
497,108,134
498,-25,21
499,-34,157
