index,values
0,52
1,-18
2,-103
3,-122
4,133
5,40
6,33
7,-53
8,30
9,27
10,-88
11,-31
12,147
13,113
14,-153
15,-108
16,-108
17,-98
18,-17
19,-24
20,-154
21,34
22,69
23,-156
24,17
25,105
26,61
27,7
28,103
29,-151
30,106
31,106
32,113
33,1
34,116
35,147
36,31
37,-111
38,-143
39,-44
40,-118
41,87
42,-7
43,-18
44,-63
45,44
46,-152
47,14
48,111
49,-113
50,-80
51,-43
52,100
53,-25
54,-8
55,76
56,-41
57,-129
58,-121
59,1
60,117
61,-21
62,98
63,-8
64,-130
65,-113
66,18
67,87
68,131
69,-110
70,-36
71,146
72,8
73,160
74,-149
75,120
76,5
77,51
78,87
79,47
80,-20
81,-138
82,-81
83,-60
84,148
85,22
86,-9
87,61
88,152
89,103
90,-77
91,128
92,155
93,114
94,-44
95,-6
96,-84
97,-91
98,-50
99,-84
100,-157
101,-134
102,-70
103,-132
104,-15
105,-6
106,-87
107,-14
108,-8
109,8
110,-149
111,118
112,-112
113,-153
114,87
115,-31
116,128
117,-134
118,145
119,-68
120,84
121,89
122,-150
123,-37
124,155
125,90
126,160
127,-90
128,-101
129,-48
130,-45
131,20
132,-144
133,30
134,28
135,-84
136,150
137,-100
138,-3
139,108
140,40
141,13
142,55
143,138
144,-39
145,-102
146,-65
147,-7
148,129
149,-107
150,-14
151,-77
152,8
153,80
154,-20
155,-28
156,-145
157,146
158,-46
159,67
160,-68
161,-55
162,-100
163,-74
164,-7
165,133
166,-28
167,-53
168,-136
169,-85
170,86
171,-149
172,-115
173,44
174,78
175,-133
176,74
177,98
178,131
179,-95
180,-158
181,24
182,-57
183,54
184,-150
185,-62
186,-56
187,59
188,97
189,-157
190,-36
191,-116
192,-159
193,40
194,130
195,-110
196,127
197,28
198,-18
199,-122
200,82
201,118
202,64
203,-36
204,-153
205,-143
206,-90
207,-75
208,76
209,93
210,-14
211,-71
212,131
213,40
214,-152
215,97
216,132
217,77
218,-50
219,110
220,124
221,83
222,-118
223,17
224,115
225,-136
226,138
227,115
228,64
229,-38
230,-16
231,62
232,-153
233,-109
234,-60
235,-12
236,143
237,-113
238,-57
239,20
240,-35
241,-127
242,-159
243,66
244,-48
245,38
246,41
247,-11
248,62
249,116
250,153
251,100
252,127
253,-50
254,-63
255,49
256,84
257,-44
258,-84
259,-55
260,80
261,-17
262,-15
263,-144
264,-103
265,46
266,-12
267,15
268,-83
269,79
270,151
271,72
272,46
273,53
274,-56
275,155
276,115
277,-70
278,-133
279,54
280,156
281,34
282,20
283,47
284,2
285,116
286,-27
287,57
288,141
289,12
290,-32
291,12
292,127
293,-3
294,118
295,-76
296,101
297,-90
298,-26
299,-69
300,-46
301,149
302,120
303,-5
304,-120
305,106
306,81
307,-68
308,156
309,3
310,0
311,99
312,121
313,-63
314,-142
315,22
316,-62
317,89
318,-116
319,-51
320,55
321,-146
322,131
323,-31
324,-31
325,-19
326,95
327,76
328,-130
329,96
330,33
331,2
332,-89
333,146
334,143
335,-117
336,83
337,-15
338,61
339,78
340,-89
341,-55
342,-108
343,-23
344,-7
345,-19
346,100
347,-125
348,-52
349,105
350,-73
351,131
352,-3
353,-35
354,80
355,-80
356,133
357,-60
358,25
359,118
360,114
361,-64
362,-108
363,-75
364,14
365,147
366,-91
367,128
368,-88
369,-120
370,100
371,-135
372,151
373,-49
374,141
375,58
376,50
377,-18
378,-64
379,-48
380,-119
381,104
382,-115
383,10
384,-34
385,-112
386,-4
387,154
388,54
389,-50
390,36
391,49
392,-145
393,-28
394,4
395,71
396,48
397,-84
398,-61
399,160
400,15
401,-138
402,38
403,-54
404,159
405,19
406,127
407,-16
408,-101
409,123
410,107
411,-123
412,149
413,6
414,159
415,141
416,88
417,104
418,-108
419,-51
420,-31
421,64
422,-16
423,-126
424,138
425,51
426,105
427,-132
428,126
429,-64
430,107
431,-70
432,85
433,83
434,-24
435,-118
436,28
437,25
438,9
439,-25
440,-137
441,30
442,-121
443,8
444,26
445,-135
446,-88
447,-36
448,25
449,-8
450,-36
451,-45
452,22
453,-142
454,-87
455,56
456,-116
457,61
458,-74
459,-93
460,150
461,-1
462,26
463,147
464,-89
465,98
466,85
467,-107
468,82
469,62
470,-75
471,-145
472,-2
473,93
474,-12
475,60
476,74
477,-90
478,152
479,111
480,93
481,-8
482,103
483,0
484,79
485,-87
486,66
487,-123
488,114
489,18
490,-74
491,160
492,122
493,-14
494,-148
495,-119
496,-34
497,-77
498,-137
499,133
500,-14
501,59
502,-140
503,-126
504,71
505,71
506,-109
507,24
508,-5
509,132
510,141
511,-7
512,-77
513,60
514,149
515,5
516,-120
517,-147
518,136
519,-62
520,63
521,-50
522,16
523,105
524,-105
525,-152
526,27
527,-89
528,-42
529,-2
530,152
531,125
532,68
533,158
534,-154
535,157
536,-106
537,69
538,32
539,-139
540,130
541,137
542,-71
543,56
544,39
545,21
546,8
547,63
548,120
549,-120
550,-77
551,151
552,-73
553,18
554,-127
555,40
556,-28
557,-68
558,-96
559,-66
560,-151
561,-114
562,13
563,-12
564,68
565,47
566,117
567,133
568,-126
569,-131
570,4
571,-147
572,-95
573,38
574,-115
575,93
576,65
577,5
578,146
579,-131
580,-120
581,-103
582,-114
583,42
584,96
585,82
586,14
587,-76
588,36
589,122
590,111
591,-45
592,-118
593,-134
594,-70
595,129
596,-150
597,80
598,5
599,29
600,-122
601,77
602,-79
603,-142
604,69
605,42
606,-16
607,7
608,-152
609,36
610,-45
611,-18
612,-86
613,-160
614,-64
615,111
616,-50
617,-60
618,-7
619,45
620,150
621,-10
622,133
623,-33
624,46
625,14
626,-28
627,-132
628,128
629,40
630,-8
631,103
632,-78
633,111
634,117
635,77
636,-66
637,134
638,-17
639,-15
640,-114
641,90
642,-68
643,-3
644,39
645,-156
646,-41
647,-106
648,-8
649,26
650,-130
651,-82
652,136
653,129
654,-103
655,-52
656,-113
657,-118
658,7
659,94
660,-37
661,20
662,26
663,125
664,24
665,85
666,-72
667,37
668,-117
669,34
670,-53
671,143
672,-128
673,-104
674,16
675,107
676,-152
677,151
678,-5
679,-2
680,115
681,-39
682,56
683,-56
684,-58
685,66
686,55
687,40
688,0
689,-66
690,-3
691,81
692,-158
693,-54
694,10
695,-142
696,20
697,94
698,-131
699,-32
700,-19
701,145
702,-45
703,-133
704,-102
705,69
706,80
707,126
708,-53
709,-86
710,79
711,-156
712,68
713,-42
714,52
715,4
716,86
717,-150
718,82
719,-88
720,-63
721,-115
722,-135
723,-97
724,-66
725,-118
726,71
727,-138
728,157
729,-111
730,-44
731,-95
732,-66
733,-57
734,-38
735,-105
736,106
737,-111
738,140
739,-30
740,147
741,-17
742,-30
743,-135
744,-103
745,90
746,116
747,-128
748,-28
749,-91
750,49
751,105
752,-134
753,-55
754,-54
755,160
756,31
757,-52
758,56
759,65
760,-39
761,-8
762,6
763,48
764,52
765,-60
766,-64
767,-125
768,120
769,20
770,104
771,-4
772,-19
773,-117
774,-3
775,91
776,61
777,-160
778,-31
779,83
780,99
781,-25
782,-84
783,92
784,152
785,10
786,-27
787,150
788,71
789,1
790,-75
791,54
792,120
793,36
794,-3
795,-13
796,-25
797,-51
798,90
799,78
800,-117
801,140
802,48
803,-65
804,149
805,108
806,-38
807,112
808,148
809,144
810,-145
811,-120
812,-95
813,-70
814,-46
815,113
816,-149
817,-92
818,-154
819,-52
820,140
821,124
822,-145
823,132
824,-114
825,77
826,-9
827,-133
828,96
829,124
830,76
831,107
832,-104
833,125
834,-17
835,3
836,95
837,-121
838,-79
839,63
840,-26
841,-118
842,2
843,-74
844,-138
845,15
846,-155
847,82
848,120
849,-107
850,-9
851,113
852,-102
853,148
854,-155
855,-81
856,107
857,-3
858,114
859,-9
860,-48
861,-149
862,47
863,71
864,-75
865,-103
866,117
867,-140
868,-75
869,120
870,-19
871,-110
872,137
873,23
874,121
875,-44
876,-79
877,-14
878,20
879,158
880,160
881,154
882,137
883,-26
884,-39
885,-136
886,39
887,-46
888,134
889,-79
890,50
891,96
892,-56
893,69
894,-118
895,139
896,-108
897,-69
898,9
899,158
