index,values
0,123
1,160
2,-152
3,122
4,-13
5,124
6,7
7,-30
8,-91
9,38
10,-37
11,23
12,-42
13,-10
14,119
15,109
16,-34
17,-95
18,-142
19,-120
20,-94
21,-7
22,-37
23,6
24,-154
25,73
26,110
27,131
28,22
29,-134
30,113
31,59
32,-57
33,34
34,102
35,90
36,-142
37,-132
38,-48
39,-111
40,-70
41,-126
42,83
43,156
44,98
45,148
46,91
47,-114
48,-41
49,-93
50,64
51,-138
52,-127
53,-106
54,-153
55,86
56,137
57,-140
58,-1
59,-80
60,-78
61,2
62,-96
63,-17
64,-102
65,-46
66,-45
67,-151
68,-60
69,-141
70,6
71,-114
72,59
73,-35
74,-97
75,-32
76,-107
77,147
78,-47
79,-4
80,-153
81,-127
82,-34
83,155
84,-44
85,129
86,-71
87,54
88,35
89,56
90,128
91,-18
92,87
93,-92
94,99
95,106
96,-42
97,72
98,-126
99,152
100,-60
101,-101
102,-77
103,-94
104,144
105,140
106,-89
107,-158
108,-83
109,-50
110,8
111,-21
112,-69
113,-118
114,135
115,-142
116,94
117,97
118,-7
119,110
120,79
121,66
122,-115
123,-72
124,-28
125,34
126,120
127,118
128,84
129,-101
130,21
131,-137
132,-100
133,-37
134,126
135,153
136,-83
137,92
138,-34
139,157
140,115
141,9
142,32
143,98
144,50
145,-114
146,-48
147,-69
148,127
149,-131
150,33
151,-49
152,-67
153,56
154,-153
155,-94
156,56
157,128
158,102
159,138
160,96
161,-154
162,64
163,22
164,-136
165,-142
166,35
167,38
168,146
169,77
170,20
171,-35
172,108
173,-130
174,146
175,75
176,-67
177,-22
178,51
179,-154
180,-102
181,16
182,73
183,145
184,-5
185,-35
186,-17
187,-39
188,-157
189,-56
190,152
191,122
192,-35
193,-142
194,-131
195,81
196,138
197,-76
198,-155
199,-77
200,139
201,109
202,-29
203,-14
204,-44
205,-73
206,-73
207,-147
208,105
209,119
210,43
211,-97
212,86
213,-17
214,142
215,155
216,104
217,-157
218,43
219,97
220,87
221,87
222,-39
223,26
224,-87
225,27
226,-113
227,47
228,-143
229,15
230,-7
231,-114
232,-43
233,-146
234,18
235,15
236,3
237,-82
238,-91
239,27
240,-144
241,79
242,15
243,-134
244,141
245,139
246,43
247,69
248,22
249,27
250,-57
251,113
252,74
253,-15
254,-22
255,127
256,-99
257,-51
258,-5
259,103
260,-125
261,45
262,-75
263,109
264,111
265,119
266,108
267,78
268,-86
269,148
270,32
271,50
272,65
273,-147
274,-43
275,29
276,58
277,43
278,134
279,29
280,119
281,-28
282,58
283,82
284,117
285,-31
286,120
287,-109
288,-43
289,38
290,-50
291,-29
292,95
293,4
294,79
295,62
296,-116
297,-40
298,-102
299,16
300,-41
301,-9
302,-71
303,49
304,20
305,-98
306,153
307,123
308,-18
309,149
310,91
311,-123
312,34
313,-144
314,-148
315,-137
316,10
317,-90
318,40
319,-120
320,-97
321,-76
322,-2
323,8
324,35
325,-11
326,126
327,17
328,-51
329,34
330,-101
331,53
332,113
333,-7
334,39
335,28
336,80
337,-5
338,160
339,137
340,-99
341,-11
342,-14
343,68
344,75
345,-149
346,57
347,94
348,-72
349,145
350,-74
351,55
352,94
353,-143
354,130
355,-120
356,112
357,-6
358,34
359,136
360,-65
361,-134
362,-141
363,143
364,5
365,154
366,75
367,-120
368,105
369,133
370,143
371,26
372,-80
373,41
374,-120
375,-83
376,-91
377,138
378,-141
379,-33
380,-14
381,88
382,90
383,40
384,25
385,-55
386,-118
387,54
388,13
389,131
390,122
391,95
392,130
393,-116
394,-148
395,-67
396,120
397,-66
398,107
399,-78
