index,values,weights
0,124,55
1,0,15
2,-30,128
3,-49,7
4,91,95
5,26,47
6,88,159
7,-11,121
8,-50,30
9,158,49
10,-138,138
11,-27,49
12,156,42
13,-75,71
14,-120,113
15,75,85
16,35,9
17,-159,111
18,145,74
19,155,23
20,-92,132
21,-25,80
22,-94,26
23,98,73
24,-125,151
25,28,76
26,-39,23
27,147,31
28,33,25
29,-46,95
30,146,54
31,-98,28
32,94,83
33,-111,121
34,-39,140
35,-39,84
36,81,89
37,149,81
38,158,16
39,-80,92
40,-40,60
41,-87,43
42,87,146
43,38,160
44,-155,43
45,157,29
46,142,148
47,128,98
48,-14,94
49,159,155
50,-26,67
51,140,92
52,13,20
53,-137,85
54,-157,10
55,44,98
56,159,15
57,-48,112
58,-29,55
59,118,48
60,13,93
61,32,48
62,73,116
63,-26,51
64,130,123
65,158,88
66,-150,2
67,-140,1
68,20,6
69,-88,32
70,-31,89
71,60,69
72,37,76
73,-125,104
74,-42,7
75,57,116
76,-37,6
77,74,107
78,89,35
79,-119,89
80,6,92
81,24,70
82,110,5
83,97,104
84,67,71
85,145,156
86,92,37
87,139,63
88,-56,78
89,-116,149
90,-46,143
91,-75,77
92,130,147
93,-25,69
94,63,113
95,-128,85
96,19,38
97,66,118
98,44,115
99,-45,119
100,87,35
101,140,151
102,123,27
103,-83,152
104,96,32
105,15,25
106,-126,6
107,0,106
108,74,40
109,156,106
110,-58,15
111,68,8
112,-47,85
113,-42,53
114,107,79
115,12,102
116,34,41
117,-135,15
118,-74,21
119,11,7
120,139,13
121,44,150
122,-76,109
123,-107,77
124,120,35
125,149,116
126,-60,115
127,-94,88
128,37,141
129,110,105
130,111,8
131,145,22
132,-150,12
133,-156,138
134,97,33
135,-40,70
136,-151,105
137,72,104
138,67,90
139,-153,10
140,-33,105
141,87,95
142,121,120
143,121,95
144,30,100
145,123,131
146,-86,65
147,-16,58
148,-123,62
149,50,42
150,-151,147
151,132,121
152,76,99
153,36,61
154,-133,102
155,105,139
156,65,28
157,-140,82
158,-104,117
159,-138,85
160,125,85
161,-109,13
162,116,37
163,-6,21
164,-73,48
165,-19,151
166,-71,36
167,-144,134
168,-84,29
169,128,152
170,126,52
171,-5,78
172,89,60
173,-106,52
174,149,124
175,-104,114
176,-27,132
177,102,73
178,-105,65
179,-143,29
180,77,29
181,9,138
182,17,37
183,128,154
184,43,131
185,71,66
186,58,153
187,-20,125
188,-152,18
189,24,10
190,145,39
191,-42,95
192,18,155
193,-38,135
194,66,155
195,-130,11
196,142,150
197,-140,136
198,45,73
199,-18,38
200,18,121
201,113,79
202,120,56
203,126,8
204,-125,97
205,46,105
206,138,36
207,-124,59
208,-45,50
209,-94,96
210,64,4
211,4,70
212,89,42
213,98,58
214,-118,3
215,9,8
216,-146,100
217,-72,87
218,159,99
219,57,110
220,-23,68
221,-151,7
222,-116,3
223,22,36
224,132,89
225,114,39
226,-99,117
227,-145,124
228,-79,154
229,-120,77
230,-117,47
231,-127,127
232,65,88
233,75,68
234,-131,15
235,8,95
236,-47,71
237,-93,2
238,21,24
239,116,48
240,-128,88
241,66,78
242,124,31
243,-13,21
244,-70,153
245,-17,86
246,-139,28
247,28,55
248,-130,64
249,7,137
250,-39,158
251,58,34
252,-22,119
253,-90,122
254,119,69
255,-85,160
256,-64,94
257,-94,146
258,145,43
259,38,15
260,108,38
261,-39,55
262,-93,151
263,122,72
264,19,73
265,-131,9
266,-39,154
267,-12,115
268,44,126
269,50,119
270,98,64
271,-130,136
272,-106,81
273,-144,82
274,101,82
275,-97,3
276,31,152
277,2,144
278,-129,32
279,101,148
280,-40,82
281,-121,4
282,36,110
283,-128,14
284,105,145
285,-114,84
286,119,43
287,127,121
288,-117,118
289,111,153
290,32,105
291,-105,148
292,53,143
293,65,57
294,99,15
295,7,127
296,-29,77
297,39,139
298,61,24
299,14,101
