index,values,weights
0,-120,44
1,-98,149
2,-11,-84
3,116,95
4,140,151
5,34,73
6,5,-97
7,-32,108
8,70,7
9,-158,82
10,-160,-158
11,26,113
12,-53,-93
13,-148,132
14,151,-132
15,-91,-75
16,122,-66
17,-129,-90
18,98,-56
19,-38,145
20,-140,-116
21,-32,-98
22,-80,148
23,-78,-20
24,-157,8
25,-87,-50
26,-109,125
27,158,-76
28,32,-142
29,-144,87
30,-129,141
31,-61,-77
32,98,5
33,-90,-157
34,104,-39
35,-124,38
36,132,-95
37,-93,145
38,142,92
39,-102,-86
40,11,50
41,52,34
42,-68,129
43,72,-129
44,46,29
45,66,-78
46,94,-141
47,85,123
48,-138,74
49,94,-43
50,-99,158
51,-45,-152
52,-121,-30
53,160,26
54,-49,-15
55,20,156
56,-3,15
57,23,-144
58,-67,-92
59,-57,-145
60,112,-135
61,137,-142
62,-152,33
63,-158,101
64,-65,61
65,94,10
66,-60,-141
67,-6,5
68,-122,109
69,-90,-147
70,12,130
71,105,63
72,85,-151
73,31,-90
74,-150,8
75,94,7
76,71,76
77,-104,127
78,5,-121
79,-55,-1
80,-86,-158
81,6,39
82,45,108
83,13,-110
84,27,101
85,22,149
86,4,-158
87,80,-30
88,-121,124
89,-119,144
90,-4,-114
91,-2,-45
92,-130,-102
93,102,115
94,44,-160
95,-90,68
96,-71,-70
97,-158,159
98,19,-18
99,116,15
100,-62,-120
101,150,-113
102,47,144
103,112,-77
104,-86,74
105,150,-119
106,-94,141
107,-41,30
108,-70,-140
109,132,-2
110,-133,85
111,146,-75
112,-8,78
113,29,-1
114,121,-108
115,-72,113
116,-94,15
117,-159,-36
118,109,-8
119,60,118
120,-66,-46
121,-151,24
122,111,64
123,49,-69
124,121,-109
125,27,-113
126,-137,130
127,-58,-135
128,-100,53
129,128,47
130,-26,-93
131,39,-117
132,-2,-88
133,-48,-53
134,-7,-158
135,-96,149
136,6,22
137,126,-48
138,-146,-47
139,-120,-112
140,-144,27
141,-15,84
142,5,70
143,-71,108
144,-26,50
145,95,-132
146,157,38
147,-18,54
148,-111,-26
149,96,48
150,-6,79
151,-42,-65
152,-64,-144
153,-138,-145
154,74,55
155,83,-28
156,-103,107
157,76,49
158,-69,-147
159,-35,-140
160,95,-44
161,81,-48
162,105,151
163,-75,83
164,97,-122
165,-33,-56
166,-111,158
167,-67,-152
168,-61,-117
169,-78,-56
170,152,124
171,-44,-74
172,-4,113
173,33,-39
174,120,142
175,-31,-87
176,134,-67
177,88,-8
178,22,-31
179,86,-56
180,-105,-152
181,-40,-110
182,46,-159
183,127,31
184,-124,155
185,-16,80
186,-66,110
187,146,88
188,-30,54
189,-145,95
190,-49,-77
191,63,-160
192,3,82
193,-136,152
194,-103,-30
195,124,-65
196,-144,78
197,130,2
198,62,114
199,-26,153
200,-133,-140
201,-30,37
202,-12,82
203,35,74
204,-55,40
205,-133,-147
206,-128,149
207,-139,-51
208,53,-69
209,-6,-108
210,-116,-50
211,94,154
212,-33,135
213,-33,84
214,-12,-55
215,-85,-85
216,-97,-37
217,77,-113
218,66,-78
