index,values,weights
0,-63,97
1,-68,120
2,-74,24
3,-69,41
4,58,64
5,39,40
6,38,96
7,146,53
8,-84,18
9,84,68
10,-66,149
11,132,95
12,-49,53
13,-109,150
14,-102,138
15,-90,144
16,146,150
17,-9,65
18,22,102
19,-52,37
20,-113,159
21,-107,46
22,-97,152
23,-90,62
24,79,148
25,54,67
26,-33,145
27,69,103
28,82,69
29,-83,13
30,75,114
31,-123,51
32,52,144
33,121,17
34,25,73
35,11,1
36,74,18
37,-89,56
38,111,123
39,60,108
40,-115,32
41,153,62
42,-16,14
43,-77,7
44,8,7
45,-37,112
46,-105,23
47,-105,56
48,130,65
49,-49,140
50,-154,29
51,85,127
52,-113,134
53,122,80
54,67,93
55,-70,122
56,-152,20
57,40,38
58,103,20
59,-125,113
60,85,116
61,-63,68
62,-122,34
63,-52,131
64,-2,49
65,142,124
66,-97,6
67,141,82
68,94,83
69,125,105
70,-34,55
71,-147,92
72,127,101
73,16,108
74,-46,58
75,-110,139
76,-85,21
77,-43,102
78,57,85
79,0,10
80,-1,54
81,136,3
82,-39,92
83,-88,55
84,89,45
85,-82,14
86,50,115
87,1,73
88,-14,7
89,-140,99
90,137,63
91,-144,159
92,13,12
93,146,141
94,7,60
95,104,64
96,-26,160
97,-79,27
98,137,7
99,20,41
100,-80,72
101,-140,75
102,-76,29
103,14,40
104,67,80
105,-151,57
106,-14,116
107,21,18
108,-120,44
109,-153,108
110,33,137
111,-31,9
112,-86,132
113,-60,92
114,-95,147
115,86,151
116,30,29
117,62,114
118,-139,94
119,73,120
120,140,116
121,-77,99
122,-33,157
123,-156,8
124,22,86
125,1,55
126,-64,125
127,-79,84
128,-118,151
129,118,3
130,17,63
131,-150,65
132,-157,39
133,141,38
134,-137,76
135,-101,19
136,-4,37
137,146,102
138,-34,22
139,-123,54
140,-141,3
141,-83,95
142,50,112
143,-144,33
144,-96,119
145,96,98
146,-35,103
147,-114,54
148,-48,64
149,16,120
150,-89,41
151,-142,4
152,103,14
153,48,1
154,50,86
155,-147,139
156,146,72
157,-8,118
158,-31,153
159,-149,11
160,95,149
161,-92,96
162,89,136
163,116,152
164,112,47
165,37,153
166,108,127
167,105,71
168,-107,93
169,154,28
170,57,18
171,144,14
172,86,142
173,-87,100
174,-104,146
175,-53,140
176,-87,89
177,89,115
178,144,126
179,22,116
180,-157,123
181,63,151
182,-68,107
183,157,95
184,-113,10
185,-28,151
186,-63,72
187,34,108
188,77,123
189,-24,60
190,-52,5
191,29,106
192,-61,98
193,120,136
194,113,106
195,67,7
196,9,94
197,20,13
198,86,83
199,-73,128
