index,values,weights
0,-24,-62
1,-21,63
2,-137,139
3,-15,-130
4,-67,-2
5,63,143
6,-139,-44
7,49,74
8,153,154
9,53,-106
10,-160,-15
11,23,-31
12,-109,-62
13,37,57
14,-54,-3
15,27,77
16,123,95
17,-135,106
18,14,101
19,8,-2
20,66,41
21,134,-23
22,-158,108
23,-10,142
24,96,54
25,11,-43
26,124,160
27,71,-35
28,53,-108
29,136,-122
30,63,148
31,-82,160
32,47,-120
33,-64,-37
34,45,-25
35,-14,106
36,-107,63
37,-26,49
38,-60,39
39,127,107
40,66,131
41,49,-99
42,18,98
43,13,132
44,-68,47
45,85,-78
46,-44,-102
47,57,-155
48,-130,1
49,32,17
50,-94,7
51,-146,160
52,-66,-11
53,101,-122
54,158,-131
55,25,127
56,4,116
57,-22,133
58,47,-22
59,57,98
60,160,23
61,84,128
62,118,73
63,112,2
64,-85,118
65,-125,-142
66,-96,58
67,-25,-71
68,-131,-159
69,-20,24
70,-14,12
71,5,30
72,12,-64
73,-32,98
74,-79,139
75,-143,-67
76,-128,103
77,155,-46
78,70,-77
79,-42,59
80,-56,-55
81,-23,65
82,26,41
83,155,-10
84,6,55
85,-90,53
86,140,-41
87,-93,-76
88,-123,42
89,-84,59
90,109,-3
91,34,-60
92,-147,-59
93,24,-124
94,101,-151
95,107,-37
96,130,22
97,-156,17
98,146,-67
99,-154,122
100,-146,133
101,-86,46
102,-120,35
103,-84,127
104,160,-137
105,-121,129
106,-17,23
107,-105,24
108,69,-43
109,95,7
110,151,107
111,-68,-39
112,54,-13
113,-82,-117
114,-150,104
115,-7,134
116,124,144
117,-120,-117
118,-141,128
119,135,-48
120,47,93
121,47,143
122,-154,74
123,52,153
124,117,-28
125,-153,52
126,-120,121
127,139,-145
128,22,-2
129,-47,157
130,-116,-150
131,-83,-91
132,-43,117
133,97,32
134,95,115
135,-115,-125
136,-149,-15
137,-8,46
138,-106,-11
139,-80,133
140,-159,-17
141,-19,28
142,-109,111
143,108,-34
144,36,154
145,152,35
146,-87,123
147,-8,-93
148,-137,-117
149,-38,-108
150,157,48
151,0,-124
152,145,93
153,-59,-17
154,67,107
155,-118,84
156,-122,150
157,105,121
158,16,-139
159,-91,111
160,16,-59
161,64,20
162,40,20
163,119,-100
164,159,123
165,-100,-33
166,-123,-153
167,22,124
168,-125,20
169,-130,-12
170,-159,-114
171,96,0
172,-30,56
173,-105,-32
174,-5,121
175,58,114
176,-25,71
177,-113,144
178,149,81
179,-34,72
180,56,-122
181,-130,73
182,79,-102
183,-14,103
184,101,-146
185,42,98
186,-110,-105
187,-113,55
188,-1,-85
189,-11,-107
190,136,5
191,-60,22
192,139,117
193,116,-12
194,-13,119
195,62,-95
196,45,106
197,-8,62
198,-136,110
199,-24,-52
200,62,-86
201,-77,118
202,124,142
203,132,-56
204,96,-24
205,-35,147
206,45,106
207,-110,96
208,131,158
209,-130,-158
210,122,132
211,-110,29
212,157,-145
213,84,-42
214,105,30
215,-159,61
216,-100,-15
217,82,-116
218,-115,-115
219,156,119
220,-8,159
221,132,31
222,-89,-31
223,-156,126
224,104,103
225,96,-137
226,121,-113
227,1,85
228,89,-43
229,-18,-131
230,56,92
231,13,93
232,140,54
233,-102,72
234,134,16
235,84,160
236,121,1
237,-58,-63
238,42,106
239,-54,96
240,143,-127
241,-114,109
242,52,76
243,120,-126
244,-130,-107
245,-63,-48
246,152,105
247,151,33
248,77,109
249,-64,87
250,-110,44
251,58,27
252,-124,30
253,-6,90
254,83,126
255,4,1
256,-87,-80
257,-79,115
258,-64,73
259,-90,-68
260,108,94
261,8,-39
262,151,69
263,60,92
264,-6,-145
265,-16,83
266,158,58
267,-104,-66
268,94,137
269,74,-70
270,125,25
271,-70,-122
272,21,-142
273,76,117
274,-155,81
275,92,-99
276,10,49
277,-39,-21
278,-118,-110
279,-95,127
280,29,-9
281,-75,25
282,-106,37
283,-56,-29
284,23,94
285,-27,-25
286,-106,1
287,-107,-127
288,73,-18
289,-56,75
290,4,77
291,-74,-64
292,106,28
293,112,74
294,37,-54
295,-74,129
296,-74,-63
297,-144,75
298,-145,55
299,-77,55
