index,values,weights
0,-138,21
1,158,72
2,132,24
3,-89,37
4,154,61
5,-96,51
6,-105,102
7,18,78
8,88,61
9,-32,140
10,-152,67
11,61,5
12,-139,134
13,5,96
14,-19,67
15,12,104
16,-132,67
17,26,102
18,-42,140
19,-19,88
20,-72,77
21,45,31
22,34,126
23,-3,133
24,-158,63
25,61,157
26,143,8
27,65,85
28,136,73
29,10,110
30,-24,18
31,-147,20
32,23,115
33,2,61
34,-39,120
35,107,49
36,-107,148
37,-135,127
38,68,6
39,51,130
40,-10,73
41,12,113
42,-142,44
43,-79,17
44,-153,4
45,41,159
46,9,107
47,25,122
48,148,128
49,-18,127
50,152,130
51,71,142
52,-74,54
53,51,125
54,53,57
55,-91,37
56,45,18
57,89,143
58,146,28
59,3,146
60,110,52
61,-42,109
62,-34,80
63,-26,53
64,117,84
65,115,75
66,35,5
67,-138,129
68,100,19
69,-143,149
70,37,36
71,-87,30
72,45,8
73,128,155
74,28,43
75,98,77
76,-55,13
77,-109,150
78,80,45
79,-27,126
80,-80,27
81,-32,89
82,-4,16
83,25,82
84,-43,159
85,-85,138
86,55,148
87,37,90
88,-95,126
89,62,30
90,-6,85
91,86,14
92,-68,5
93,-147,146
94,-51,62
95,12,69
96,-40,21
97,60,57
98,41,46
99,-17,37
100,-98,130
101,-151,145
102,73,43
103,-111,101
104,65,55
105,-46,36
106,-85,119
107,-68,82
108,-41,36
109,30,138
110,157,132
111,-12,133
112,101,42
113,-42,6
114,-74,152
115,64,94
116,-80,36
117,-113,53
118,-57,80
119,-45,11
120,20,52
121,156,48
122,9,43
123,87,74
124,154,46
125,89,42
126,-120,51
127,-43,105
128,47,157
129,38,158
130,34,142
131,78,119
132,78,33
133,32,66
134,86,4
135,-152,47
136,94,107
137,69,29
138,-156,129
139,141,131
140,158,106
141,99,114
142,-67,53
143,-148,142
144,-70,29
145,147,67
146,-4,60
147,-152,10
148,-128,14
149,-17,136
150,-41,47
151,155,38
152,-110,5
153,26,153
154,77,24
155,-152,118
156,117,100
157,1,49
158,9,104
159,63,160
160,111,66
161,85,52
162,-26,12
163,-3,114
164,-19,126
165,-40,103
166,52,148
167,-34,1
168,14,43
169,-95,121
170,-13,30
171,-11,34
172,60,150
173,-94,79
174,5,51
175,-135,71
176,-23,131
177,-36,118
178,-43,107
179,8,50
180,-10,160
181,-132,127
182,-88,88
183,-34,60
184,-22,58
185,-38,80
186,132,100
187,-78,107
188,59,51
189,-27,45
190,-6,12
191,-64,59
192,27,115
193,-135,3
194,104,155
195,11,145
196,-61,149
197,5,10
198,55,32
199,-130,20
200,90,158
201,-59,15
202,156,46
203,-159,57
204,75,33
205,-12,21
206,-101,14
207,-121,1
208,105,57
209,57,43
210,65,19
211,-112,89
212,-146,96
213,-94,110
214,-49,39
215,8,149
216,-129,9
217,81,150
218,47,22
219,13,49
220,60,116
221,112,141
222,43,91
223,-40,158
224,24,127
225,68,123
226,-66,16
227,-21,107
228,-11,157
229,-40,18
230,-13,119
231,-137,49
232,-64,110
233,-95,135
234,47,3
235,30,51
236,135,107
237,-135,128
238,-57,5
239,-38,9
240,21,28
241,97,101
242,62,142
243,-45,98
244,-62,135
245,106,134
246,-104,80
247,155,28
248,112,93
249,40,109
250,46,66
251,53,29
252,-102,27
253,121,19
254,106,8
255,-119,36
256,80,20
257,-102,92
258,-159,35
259,-93,34
260,-117,83
261,-65,137
262,40,75
263,-92,37
264,-32,25
265,12,37
266,-85,100
267,-139,107
268,148,12
269,139,80
270,-67,16
271,2,133
272,74,7
273,-55,10
274,-93,67
275,-18,127
276,159,151
277,21,101
278,-107,29
279,68,67
280,128,131
281,33,107
282,43,89
283,-43,27
284,95,120
285,12,99
286,-16,72
287,107,61
288,-56,38
289,127,148
290,-144,10
291,-60,49
292,-90,22
293,69,49
294,116,9
295,-111,24
296,97,139
297,-26,146
298,-152,35
299,146,126
300,-20,45
301,-115,56
302,152,138
303,-8,26
304,43,101
305,-68,15
306,50,34
307,105,26
308,75,121
309,137,122
310,-42,10
311,-75,120
312,130,27
313,-46,9
314,-82,78
315,99,40
316,138,83
317,-3,154
318,-48,129
319,139,71
320,43,106
321,-53,14
322,47,44
323,-41,18
324,-30,152
325,-154,136
326,-73,47
327,113,134
328,-6,100
329,152,148
330,-43,108
331,114,73
332,-114,62
333,95,84
334,114,63
335,38,16
336,74,36
337,118,152
338,40,78
339,30,135
340,68,9
341,-38,45
342,43,12
343,-136,152
344,-49,39
345,-89,24
346,-110,152
347,-87,122
348,5,9
349,-130,2
350,-74,144
351,-48,151
352,35,49
353,110,5
354,-33,106
355,51,131
356,-96,122
357,-52,8
358,124,154
359,23,64
360,-65,116
361,-85,51
362,-105,35
363,0,67
364,-34,6
365,-117,49
366,102,101
367,145,9
368,-103,21
369,23,2
370,-12,100
371,-63,2
372,-36,1
373,4,8
374,116,157
375,-109,142
376,159,141
377,-56,11
378,30,112
379,-18,112
380,59,118
381,-49,153
382,158,5
383,138,114
384,-44,55
385,98,65
386,156,40
387,-44,21
388,-87,114
389,-6,45
390,-60,150
391,150,65
392,-65,68
393,87,103
394,-91,46
395,132,143
396,151,158
397,-72,138
398,-94,28
399,-77,152
400,153,20
401,-109,102
402,153,25
403,-111,58
404,145,80
405,104,70
406,-102,55
407,14,137
408,-144,33
409,-47,6
410,-8,105
411,-133,73
412,125,142
413,-147,131
414,-115,149
415,142,11
416,147,80
417,-30,158
418,31,71
419,-70,113
420,-145,119
421,158,96
422,-80,66
423,49,51
424,125,84
425,-92,28
426,16,14
427,-33,47
428,93,7
429,94,61
430,35,32
431,-31,111
432,-131,14
433,136,86
434,20,52
435,-136,81
436,-89,129
437,-22,14
438,-30,87
439,33,105
440,-104,51
441,13,150
442,-79,77
443,-116,112
444,152,118
445,155,119
446,-75,143
447,93,154
448,148,139
449,153,47
450,-81,63
451,-6,40
452,35,99
453,-78,148
454,-119,143
455,-131,113
456,68,126
457,120,4
458,159,91
459,46,147
460,-57,85
461,-31,113
462,109,64
463,35,28
464,-140,106
465,6,112
466,54,42
467,17,106
468,121,152
469,-21,146
470,-72,158
471,119,1
472,-2,101
473,-92,138
474,54,22
475,-95,77
476,-105,39
477,-3,55
478,-9,32
479,7,66
480,-112,35
481,-31,14
482,-121,123
483,155,120
484,-2,133
485,-25,17
486,137,6
487,155,53
488,132,116
489,99,44
490,-28,84
491,121,48
492,68,160
493,16,152
494,25,135
495,-88,156
496,95,89
497,136,127
498,108,42
499,-15,64
500,-36,96
501,-88,115
502,-76,3
503,-134,7
504,-4,71
505,107,3
506,-24,116
507,-110,24
508,70,73
509,-31,122
510,-13,47
511,-31,112
512,-143,145
513,113,115
514,53,147
515,157,92
516,76,154
517,59,120
518,88,18
519,-110,91
520,61,89
521,-129,74
522,-127,153
523,84,85
524,82,114
525,-73,68
526,-99,84
527,-100,33
528,-126,11
529,130,64
530,-85,98
531,136,8
532,51,64
533,2,43
534,-88,107
535,141,6
536,-16,62
537,-87,64
538,88,107
539,-28,54
540,92,124
541,124,115
542,107,135
543,-47,96
544,21,145
545,148,42
546,-14,91
547,139,16
548,48,118
549,-146,97
550,116,71
551,-134,17
552,105,17
553,-74,9
554,-79,131
555,41,33
556,-48,53
557,-3,40
558,135,11
559,63,97
560,-109,101
561,-48,12
562,152,133
563,67,33
564,59,100
565,117,75
566,122,56
567,-77,75
568,156,137
569,-28,140
570,1,56
571,33,4
572,-70,130
573,100,75
574,117,159
575,25,73
576,93,134
577,23,65
578,125,156
579,117,110
580,-151,108
581,125,114
582,143,149
583,-139,95
584,122,17
585,15,86
586,85,95
587,-31,105
588,101,68
589,128,103
590,-120,19
591,-65,36
592,79,137
593,64,94
594,-135,12
595,111,2
596,-103,6
597,-123,63
598,-22,32
599,-20,120
600,-62,87
601,-38,28
602,9,128
603,-59,102
604,103,158
605,98,137
606,120,53
607,-7,51
608,-129,65
609,-100,53
610,-120,28
611,-63,141
612,-150,118
613,52,13
614,66,138
615,-6,65
616,-39,111
617,-71,119
618,-29,30
619,115,18
620,48,109
621,-19,86
622,-124,134
623,30,159
624,-12,145
625,75,63
626,24,22
627,-15,117
628,79,80
629,-28,158
630,-24,151
631,147,55
632,-149,112
633,40,106
634,-109,143
635,-44,110
636,-11,105
637,-51,135
638,-127,35
639,128,15
640,34,46
641,40,142
642,-94,77
643,22,23
644,-103,20
645,-73,19
646,-25,102
647,95,33
648,13,59
649,-47,76
650,-29,136
651,-127,119
652,-34,50
653,44,95
654,-68,133
655,-70,32
656,5,24
657,87,19
658,-152,132
659,-135,21
660,85,24
661,19,56
662,-111,9
663,-11,104
664,-55,90
665,-51,106
666,19,15
667,-107,135
668,133,119
669,114,26
670,81,82
671,-155,127
672,-124,55
673,-110,144
674,-18,118
675,-145,136
676,79,21
677,120,101
678,-103,137
679,146,5
680,-100,48
681,-84,19
682,6,26
683,-118,19
684,-41,152
685,-118,129
686,-142,107
687,-150,137
688,96,141
689,48,68
690,83,69
691,-145,53
692,-155,154
693,-52,53
694,-99,44
695,-74,82
696,-133,10
697,42,151
698,-71,87
699,129,149
700,-20,5
701,-27,132
702,50,78
703,-100,121
704,28,43
705,-57,138
706,-100,84
707,-79,153
708,118,160
709,94,129
710,-146,6
711,85,73
712,78,101
713,-54,119
714,73,108
715,-123,21
716,145,120
717,115,91
718,-88,113
719,-63,57
720,-160,77
721,-71,116
722,5,137
723,13,41
724,-51,86
725,147,25
726,-125,45
727,-9,136
728,-14,29
729,141,38
730,-95,102
731,69,115
732,-131,24
733,45,137
734,-10,74
735,-1,112
736,82,58
737,139,66
738,-68,48
739,-7,101
