index,values,weights
0,-81,77
1,-102,49
2,-113,94
3,-136,3
4,9,107
5,3,73
6,33,33
7,-38,90
8,-131,114
9,-91,59
10,136,156
11,-126,141
12,17,6
13,134,111
14,14,118
15,33,88
16,-117,61
17,135,44
18,-11,68
19,91,10
20,-121,77
21,154,98
22,-60,80
23,66,105
24,118,57
25,94,86
26,-7,144
27,-145,33
28,127,135
29,73,124
30,-151,39
31,90,147
32,106,84
33,0,4
34,0,11
35,-50,66
36,140,58
37,124,101
38,25,85
39,87,42
40,102,139
41,-86,44
42,82,86
43,42,123
44,19,9
45,84,73
46,148,51
47,-134,14
48,149,79
49,-130,30
50,111,145
51,151,87
52,-153,15
53,28,56
54,54,142
55,-27,113
56,11,13
57,18,129
58,98,14
59,110,130
60,49,82
61,-77,86
62,123,100
63,146,8
64,-55,141
65,64,49
66,104,21
67,-142,78
68,32,45
69,-134,85
70,34,87
71,-20,60
72,-31,49
73,135,155
74,-36,33
75,7,33
76,-110,115
77,-40,147
78,-159,127
79,36,118
80,-73,16
81,-150,154
82,-54,114
83,-108,152
84,-79,85
85,-63,79
86,-128,58
87,-2,14
88,-128,139
89,103,13
90,143,35
91,107,72
92,33,129
93,83,151
94,-19,136
95,83,121
96,-33,59
97,8,151
98,25,34
99,153,99
100,99,15
101,97,21
102,118,12
103,-88,159
104,152,153
105,-128,124
106,12,19
107,-131,140
108,12,6
109,-135,81
110,119,100
111,-66,139
112,-97,95
113,-144,20
114,54,57
115,-34,101
116,61,13
117,-149,66
118,-105,131
119,67,69
120,158,47
121,-104,129
122,53,6
123,29,49
124,64,74
125,-138,8
126,-64,79
127,-91,61
128,-138,9
129,-126,20
130,-140,40
131,-15,107
132,-156,40
133,-39,61
134,-71,119
135,-2,66
136,3,127
137,116,72
138,-65,138
139,-98,17
140,-59,24
141,-107,129
142,-86,91
143,-152,160
144,45,91
145,14,129
146,90,136
147,-27,36
148,-106,138
149,-54,31
150,89,46
151,-145,89
152,-78,107
153,-60,99
154,54,29
155,65,18
156,115,77
157,-78,120
158,11,94
159,57,27
160,160,88
161,-130,31
162,74,34
163,-61,114
164,72,90
165,110,109
166,145,148
167,34,138
168,6,94
169,-135,148
170,-68,4
171,-82,65
172,-72,74
173,-59,28
174,-132,116
175,-127,123
176,-91,129
177,28,101
178,12,116
179,57,52
180,-143,124
181,-58,130
182,1,69
183,-46,143
184,-119,42
185,-113,122
186,-75,79
187,112,103
188,95,150
189,24,37
190,117,122
191,128,128
192,151,47
193,65,65
194,73,121
195,-98,17
196,-62,13
197,-49,50
198,90,152
199,146,129
200,131,35
201,-48,75
202,81,66
203,-120,10
204,-61,150
205,96,128
206,29,154
207,-101,57
208,10,56
209,-27,34
210,-18,3
211,117,106
212,148,80
213,-119,90
214,-98,136
215,-121,159
216,-77,30
217,12,129
218,39,22
219,28,10
220,153,39
221,75,124
222,-129,138
223,75,12
224,-41,90
225,-20,51
226,106,133
227,142,89
228,-40,158
229,-3,12
230,-53,160
231,-25,31
232,152,27
233,-84,95
234,-1,159
235,-89,17
236,108,150
237,131,126
238,-43,126
239,-31,44
240,56,102
241,35,49
242,-65,120
243,-44,94
244,-136,2
245,-139,47
246,-34,47
247,-91,148
248,-68,62
249,95,147
250,3,122
251,-91,73
252,-102,45
253,-120,114
254,78,97
255,126,71
256,-37,90
257,68,136
258,-3,69
259,-125,29
260,-140,148
261,89,45
262,51,60
263,-58,34
264,-102,47
265,-135,14
266,155,2
267,-21,127
268,31,146
269,-118,123
270,-34,36
271,-2,133
272,115,105
273,111,121
274,59,16
275,104,91
276,6,46
277,-83,7
278,145,66
279,-42,79
280,0,143
281,80,49
282,-41,157
283,98,16
284,158,24
285,-134,154
286,131,83
287,-129,147
288,135,105
289,94,160
290,-131,134
291,-104,121
292,-59,106
293,123,139
294,-110,33
295,-88,58
296,-49,114
297,-32,82
298,-35,117
299,50,37
300,-115,28
301,-75,37
302,-110,98
303,-87,101
304,55,143
305,10,33
306,-48,140
307,-123,136
308,-35,129
309,4,54
310,-19,111
311,122,114
312,-149,31
313,30,50
314,84,102
315,-13,16
316,113,74
317,-134,138
318,-68,1
319,33,14
320,-72,131
321,136,71
322,-110,58
323,-120,59
324,-35,95
325,-21,61
326,-115,108
327,-113,58
328,-16,76
329,-42,154
330,-36,11
331,130,27
332,-70,105
333,109,92
334,24,72
335,-88,93
336,52,140
337,-129,63
338,144,72
339,57,87
340,-51,29
341,128,107
342,-52,50
343,-31,109
344,156,58
345,8,131
346,-68,57
347,32,123
348,65,101
349,-59,100
350,67,84
351,30,35
352,-123,4
353,-105,109
354,101,151
355,64,117
356,-25,41
357,3,9
358,-126,62
359,-86,118
360,73,121
361,-33,138
362,1,144
363,-94,25
364,154,46
365,33,151
366,-99,147
367,45,97
368,46,159
369,27,138
370,-88,120
371,106,101
372,-10,15
373,-130,87
374,-78,149
375,93,63
376,-1,7
377,61,98
378,8,44
379,4,87
380,42,141
381,-30,70
382,68,25
383,-151,144
384,129,52
385,17,138
386,-41,12
387,0,35
388,88,2
389,24,52
390,140,151
391,22,61
392,-151,96
393,-54,1
394,-93,82
395,56,14
396,80,29
397,116,45
398,-37,40
399,20,73
400,-83,135
401,10,137
402,-91,83
403,71,33
404,-101,138
405,125,8
406,-121,107
407,-77,85
408,-83,64
409,92,92
410,-125,24
411,-75,104
412,-2,73
413,-153,79
414,-125,33
415,2,92
416,-29,141
417,95,97
418,-60,100
419,-6,81
420,-99,140
421,-157,73
422,78,19
423,-52,107
424,1,86
425,-110,37
426,22,19
427,60,2
428,74,46
429,90,10
430,116,150
431,85,116
432,-21,100
433,151,131
434,-65,81
435,-131,72
436,115,150
437,-152,152
438,27,3
439,-125,48
440,-12,3
441,23,13
442,-25,111
443,93,143
444,51,55
445,-74,17
446,99,130
447,96,33
448,100,121
449,-62,108
450,46,11
451,132,39
452,68,80
453,-71,142
454,98,139
455,-159,82
456,109,43
457,-58,90
458,87,133
459,146,6
460,-26,122
461,-12,40
462,-91,103
463,-91,98
464,-144,16
465,150,119
466,80,113
467,144,94
468,-155,80
469,46,47
470,-39,15
471,-109,35
472,-74,42
473,-45,4
474,-115,95
475,99,123
476,-158,77
477,-76,134
478,41,131
479,-58,99
480,-90,100
481,-133,118
482,-76,82
483,-43,66
484,-58,124
485,127,3
486,116,29
487,137,138
488,-80,72
489,-65,159
490,17,101
491,-38,102
492,61,128
493,-105,112
494,-108,130
495,31,120
496,127,97
497,-159,89
498,151,69
499,-129,50
