index,values,weights
0,119,66
1,-125,-38
2,-51,51
3,21,-84
4,-73,-70
5,151,-116
6,-66,-131
7,76,22
8,-41,22
9,32,119
10,-140,147
11,-17,-94
12,42,-151
13,-115,98
14,-10,135
15,-7,42
16,-62,-127
17,-71,136
18,-105,46
19,67,77
20,90,-137
21,-31,-53
22,100,134
23,-11,26
24,-2,123
25,-70,-127
26,-63,-128
27,-31,-102
28,81,-14
29,-143,135
30,-40,16
31,61,-80
32,62,-154
33,16,44
34,30,111
35,95,42
36,-18,-127
37,-83,-49
38,-66,61
39,50,-113
40,49,139
41,87,-56
42,-15,-89
43,51,-26
44,69,-9
45,77,-86
46,62,-4
47,-100,105
48,-121,-1
49,-8,6
50,-51,-106
51,-92,21
52,156,77
53,-138,38
54,150,-160
55,25,-20
56,-87,-149
57,-155,-5
58,137,67
59,75,104
60,9,54
61,-57,-18
62,-57,109
63,-109,146
64,-63,146
65,-67,59
66,-134,-106
67,-103,25
68,-53,101
69,-103,0
70,-9,-123
71,-4,7
72,-47,158
73,47,145
74,-6,112
75,-52,-57
76,136,122
77,152,-28
78,126,4
79,-121,-18
80,-143,43
81,28,-59
82,-141,-160
83,98,-120
84,-87,60
85,-128,45
86,-84,-141
87,34,-57
88,112,19
89,-121,2
90,152,69
91,27,-145
92,-17,37
93,102,-59
94,16,90
95,110,103
96,-34,-113
97,11,50
98,53,-157
99,150,-47
100,-135,117
101,151,54
102,48,67
103,1,-104
104,-83,45
105,99,-55
106,91,-160
107,3,82
108,-156,140
109,-32,-26
110,148,145
111,121,113
112,78,-10
113,70,136
114,-7,-111
115,147,156
116,120,120
117,109,114
118,-36,156
119,49,-109
120,-127,-136
121,-22,-106
122,-145,-146
123,-103,-111
124,91,36
125,-149,53
126,117,-58
127,-97,87
128,-106,53
129,39,133
130,-153,-90
131,22,-82
132,129,80
133,-97,-8
134,-99,-66
135,11,-137
136,96,8
137,-112,30
138,126,-33
139,-116,-27
140,-139,-26
141,-143,13
142,114,40
143,125,-143
144,-43,84
145,62,129
146,94,95
147,-7,-139
148,-127,-56
149,-134,149
150,9,-11
151,89,-8
152,5,1
153,159,73
154,85,-2
155,-43,102
156,108,49
157,-109,82
158,109,101
159,-77,-89
160,-54,-159
161,13,-150
162,-45,-36
163,35,150
164,159,-151
165,-147,74
166,-48,139
167,-4,145
168,-113,-134
169,-27,11
170,117,-157
171,32,130
172,143,118
173,-6,83
174,135,24
175,-84,59
176,23,-34
177,-44,-62
178,-20,2
179,-39,-127
180,-133,116
181,124,141
182,-134,-22
183,-7,79
184,-26,157
185,-159,75
186,4,-129
187,158,-45
188,94,-21
189,114,81
190,66,-142
191,-87,14
192,-55,71
193,-128,-11
194,-86,155
195,-20,157
196,112,-82
197,70,-121
198,-77,49
199,-29,140
200,56,59
201,-17,117
202,38,133
203,-22,127
204,-41,50
205,122,43
206,-49,-15
207,47,52
208,118,97
209,6,-81
210,-29,-14
211,-131,-155
212,61,31
213,28,-20
214,-36,121
215,127,-13
216,137,-7
217,-142,-87
218,118,15
219,-142,56
220,154,-96
221,-143,-109
222,137,-97
223,64,-69
224,-149,135
225,33,-25
226,93,126
227,-141,-147
228,-79,91
229,-157,115
230,93,-70
231,45,-36
232,149,-119
233,71,24
234,113,-154
235,67,109
236,-64,132
237,85,89
238,48,-75
239,148,-2
240,-37,51
241,56,-108
242,-145,-18
243,12,-28
244,-98,88
245,73,74
246,131,11
247,49,-88
248,59,147
249,-105,137
250,109,-150
251,136,36
252,67,46
253,73,57
254,-108,108
255,49,3
256,-33,10
257,15,159
258,-118,-85
259,47,85
260,-99,107
261,-69,88
262,156,-134
263,158,-83
264,13,148
265,36,-38
266,-41,-112
267,-49,-81
268,12,-69
269,140,50
270,-86,156
271,-71,-86
272,-125,-106
273,-101,-125
274,-7,123
275,-26,102
276,150,144
277,48,82
278,51,-93
279,133,9
280,110,-141
281,-28,125
282,-79,-70
283,-120,-157
284,29,131
285,20,58
286,65,-133
287,-116,5
288,45,123
289,-6,-25
290,-69,123
291,-148,-17
292,121,-149
293,68,140
294,-128,4
295,135,66
296,50,-41
297,-23,93
298,-42,-21
299,-109,-81
300,-131,154
301,-157,123
302,-49,-144
303,-23,-116
304,72,-110
305,126,85
306,-97,-129
307,105,-108
308,-15,-29
309,132,-119
310,65,33
311,-7,138
312,27,109
313,-89,-22
314,-119,126
315,51,-131
316,-53,-20
317,-137,-92
318,-101,-67
319,152,-28
320,-16,-66
321,11,12
322,29,3
323,-149,122
324,41,-30
325,61,117
326,115,145
327,108,77
328,-33,-85
329,63,83
330,64,154
331,-45,-34
332,158,-142
333,2,23
334,153,97
335,-40,-94
336,64,38
337,62,93
338,56,129
339,-89,-117
340,10,145
341,-158,20
342,130,37
343,86,87
344,127,80
345,-143,-6
346,86,-52
347,73,148
348,108,-25
349,128,44
350,136,-130
351,48,115
352,-143,-79
353,95,68
354,-29,-96
355,16,-54
356,-157,20
357,120,111
358,-25,-115
359,83,52
360,85,-93
361,-55,-65
362,-134,-87
363,-32,-11
364,74,127
365,-113,107
366,-9,-16
367,-64,113
368,-160,27
369,123,137
370,-59,95
371,-57,-46
372,-74,150
373,-102,25
374,9,34
375,-47,0
376,39,7
377,123,-81
378,6,-39
379,-64,140
380,-13,-133
381,140,92
382,6,-37
383,-101,-60
384,-110,82
385,50,138
386,-29,-114
387,50,51
388,-80,3
389,-29,93
390,133,69
391,41,56
392,150,115
393,81,-98
394,-141,49
395,-28,-49
396,-148,-97
397,-91,125
398,121,-80
399,-66,-68
