index,values,weights
0,-106,-132
1,124,-14
2,45,-29
3,139,-80
4,-11,-46
5,5,-132
6,-130,50
7,-38,-160
8,27,90
9,-147,6
10,-123,42
11,38,-31
12,116,4
13,-102,1
14,13,-52
15,15,-137
16,-146,-133
17,131,75
18,123,24
19,48,-114
20,43,-97
21,151,127
22,124,-73
23,51,18
24,22,-20
25,-61,-57
26,29,-11
27,92,80
28,113,128
29,107,-112
30,-85,-50
31,156,-99
32,103,-81
33,-96,-104
34,125,8
35,3,-69
36,-133,105
37,32,-65
38,-135,-49
39,-58,-16
40,27,-21
41,-25,-132
42,-139,45
43,122,-86
44,-81,-98
45,-17,-114
46,-135,-137
47,-77,17
48,-101,-116
49,-23,-30
50,70,-118
51,56,-8
52,78,49
53,13,34
54,-147,26
55,-130,76
56,-33,-125
57,40,-129
58,-152,-76
59,-111,55
60,114,143
61,-146,-108
62,46,-139
63,42,-43
64,-17,-85
65,-89,83
66,110,10
67,115,40
68,80,77
69,44,-25
70,-47,-38
71,-48,90
72,-126,54
73,148,21
74,107,34
75,116,111
76,59,58
77,-119,62
78,4,-31
79,-14,-23
80,-7,-71
81,36,-73
82,29,-142
83,-107,93
84,137,-56
85,-89,83
86,-88,-111
87,-132,-115
88,-37,-33
89,146,20
90,-16,23
91,-140,14
92,-69,-111
93,-101,-156
94,-135,66
95,-71,-44
96,151,-86
97,13,-101
98,-62,120
99,36,65
100,-21,159
101,5,34
102,-54,-156
103,57,-30
104,63,-59
105,-90,52
106,-38,-151
107,134,-101
108,2,62
109,78,-61
110,-114,37
111,-148,-75
112,34,-65
113,152,-131
114,151,3
115,20,-127
116,112,28
117,13,-109
118,1,94
119,142,-11
120,-89,88
121,131,-39
122,-103,87
123,16,158
124,54,31
125,156,66
126,-143,-137
127,-41,-149
128,-141,70
129,69,-63
130,-12,-97
131,5,-20
132,31,-134
133,-61,-133
134,20,-57
135,-129,115
136,141,-51
137,-77,-64
138,81,117
139,-35,153
140,-85,-13
141,-63,-93
142,-108,86
143,-80,-30
144,-51,-127
145,-80,-114
146,128,84
147,31,102
148,0,-106
149,46,145
150,60,65
151,-143,97
152,139,70
153,-38,-60
154,157,54
155,-113,-6
156,17,-142
157,-116,26
158,30,-139
159,-68,110
160,11,13
161,-137,72
162,-159,150
163,26,-93
164,111,-34
165,-152,153
166,23,-130
167,-18,107
168,41,145
169,15,54
170,143,-14
171,34,-63
172,-8,116
173,139,110
174,13,45
175,-89,-143
176,-156,-92
177,-80,5
178,-3,-27
179,32,144
180,-113,-30
181,-7,-44
182,159,-147
183,20,135
184,101,-156
185,-145,88
186,155,24
187,-87,152
188,-65,20
189,-1,61
190,-33,134
191,157,20
192,-77,-57
193,-142,-123
194,-4,135
195,116,-74
196,49,39
197,80,-95
198,155,-8
199,-106,-51
200,-79,117
201,-128,-154
202,-11,-16
203,8,-100
204,-43,-77
205,-102,-18
206,42,-57
207,96,90
208,97,-29
209,-7,88
210,25,156
211,-146,-61
212,-50,102
213,-98,71
214,-60,-44
215,154,-8
216,-113,14
217,7,-65
218,100,34
219,-78,83
220,4,-13
221,-26,-159
222,12,145
223,20,-77
224,112,-70
225,64,149
226,0,-13
227,98,-44
228,68,31
229,142,-59
230,74,-115
231,-128,-10
232,155,-52
233,-42,139
234,12,-139
235,-40,10
236,43,-52
237,-101,136
238,-154,-156
239,-73,-45
240,-130,10
241,-31,36
242,-147,-139
243,88,-102
244,-11,51
245,113,-131
246,49,16
247,-87,-45
248,-25,-48
249,-2,72
250,-134,9
251,-66,118
252,-95,68
253,-18,75
254,-102,-42
255,155,-114
256,71,39
257,35,114
258,-150,111
259,21,160
260,69,-112
261,138,81
262,-130,-74
263,121,107
264,-80,109
265,-116,95
266,-154,-145
267,-47,-44
268,7,-102
269,-142,-87
270,46,132
271,136,-134
272,152,-17
273,-71,48
274,132,99
275,110,-59
276,-101,-92
277,78,60
278,-96,-23
279,-16,-146
280,43,-31
281,101,-60
282,-144,70
283,-98,-110
284,59,-122
285,96,112
286,45,-100
287,-18,89
288,1,-39
289,95,60
290,-6,-120
291,114,-10
292,-54,132
293,-12,-41
294,28,-141
295,128,95
296,-4,-9
297,-131,-139
298,136,-59
299,-30,-102
300,-106,-123
301,-53,145
302,-89,-79
303,-107,-38
304,30,-61
305,-39,-65
306,71,67
307,4,160
308,159,154
309,-122,27
310,153,31
311,96,136
312,145,12
313,-147,-71
314,-14,53
315,4,-72
316,-78,48
317,-85,154
318,42,-143
319,121,2
320,-144,49
321,1,115
322,-143,-38
323,45,-32
324,-44,138
325,-1,23
326,61,-121
327,156,-93
328,2,-86
329,41,43
330,144,-133
331,-52,81
332,106,-156
333,119,-59
334,37,95
335,-11,-149
336,24,-138
337,-42,124
338,140,-55
339,45,87
340,-38,55
341,-43,51
342,96,-37
343,70,-120
344,-116,3
345,91,1
346,91,114
347,-51,-51
348,-32,149
349,-37,-50
350,31,158
351,141,153
352,31,-11
353,89,134
354,-132,154
355,100,141
356,-82,-26
357,44,83
358,80,91
359,-99,23
360,87,-137
361,60,-152
362,-77,118
363,-113,-40
364,141,120
365,0,-93
366,-143,-142
367,83,-123
368,136,-12
369,-65,-75
370,-83,-139
371,70,-103
372,96,114
373,-153,86
374,145,7
375,-5,48
376,111,-36
377,-133,145
378,-135,37
379,139,30
380,46,151
381,143,-33
382,157,156
383,-5,-25
384,37,106
385,-3,91
386,-160,-101
387,129,-3
388,109,-116
389,34,-119
390,11,38
391,39,5
392,156,-132
393,-134,-135
394,-44,68
395,114,-10
396,51,156
397,28,81
398,4,-9
399,-133,-15
400,27,7
401,-72,-126
402,26,146
403,83,-68
404,74,93
405,147,129
406,65,101
407,-70,56
408,123,40
409,54,16
410,-17,119
411,46,111
412,38,-89
413,-125,-122
414,117,147
415,-155,-63
416,113,-18
417,-123,-5
418,-90,15
419,61,-65
420,-45,96
421,79,31
422,140,-20
423,39,33
424,142,32
425,136,157
426,-117,-66
427,32,-119
428,-81,-44
429,-56,102
430,5,79
431,-5,-20
432,88,-132
433,-106,-122
434,-11,-134
435,37,-20
436,87,122
437,-44,-120
438,127,-72
439,103,37
440,78,39
441,156,64
442,41,140
443,-47,15
444,-93,6
445,137,13
446,-6,-113
447,-131,-102
448,98,38
449,43,85
450,61,123
451,108,101
452,-35,131
453,-61,67
454,114,94
455,148,47
456,128,-55
457,-51,48
458,-64,54
459,100,-19
460,-50,57
461,-40,52
462,-70,66
463,157,24
464,-23,115
465,-148,-84
466,158,73
467,-40,-40
468,83,-53
469,-69,140
470,-19,-37
471,-105,13
472,-114,-28
473,-66,137
474,-160,-121
475,-130,121
476,158,114
477,32,-68
478,73,-104
479,1,16
480,112,101
481,-103,24
482,131,-113
483,-97,-146
484,95,125
485,-6,-59
486,-50,-19
487,-48,94
488,-17,79
489,160,-65
490,32,-135
491,128,-156
492,54,-112
493,-70,64
494,4,-142
495,-148,-92
496,-89,-77
497,-89,-16
498,43,37
499,76,23
