index,values,weights
0,-105,38
1,-132,99
2,-8,24
3,0,48
4,105,109
5,-133,72
6,112,29
7,-79,148
8,-159,85
9,-5,124
10,41,16
11,15,48
12,124,128
13,53,49
14,117,9
15,-82,26
16,151,39
17,-141,115
18,-144,64
19,28,6
20,96,45
21,-11,140
22,-47,17
23,54,107
24,149,17
25,-34,153
26,120,41
27,-105,157
28,3,6
29,-124,109
30,-43,21
31,-3,38
32,-125,139
33,-97,140
34,25,1
35,65,79
36,-20,87
37,159,52
38,-135,97
39,32,88
40,-68,99
41,-80,148
42,-135,127
43,86,34
44,67,113
45,-128,124
46,28,159
47,-32,82
48,152,158
49,91,91
50,-158,78
51,96,19
52,-98,153
53,139,143
54,-103,108
55,24,54
56,-68,88
57,-1,81
58,136,43
59,-144,67
60,-71,41
61,-106,28
62,105,87
63,100,160
64,-110,116
65,-55,90
66,-3,143
67,-100,150
68,21,22
69,-115,5
70,111,125
71,-153,66
72,-127,85
73,141,101
74,-126,134
75,142,108
76,130,9
77,53,52
78,-35,56
79,159,96
80,114,82
81,-103,136
82,-33,99
83,-97,9
84,-83,78
85,79,130
86,-21,103
87,37,123
88,-1,19
89,48,142
90,-14,11
91,-96,134
92,144,46
93,-39,88
94,76,116
95,65,93
96,-131,90
97,84,45
98,68,94
99,-19,8
