index,values,weights
0,-104,130
1,63,136
2,-160,97
3,-89,4
4,-90,16
5,99,4
6,-97,157
7,24,125
8,24,61
9,-79,67
10,-44,52
11,99,158
12,27,46
13,-84,154
14,62,139
15,-160,7
16,-36,49
17,146,151
18,145,151
19,-157,85
20,-24,39
21,-58,137
22,87,88
23,-44,22
24,82,116
25,13,61
26,93,139
27,144,110
28,-74,21
29,-146,96
30,-113,51
31,-40,36
32,-14,14
33,10,6
34,135,35
35,21,10
36,76,127
37,-17,52
38,-43,160
39,18,147
40,129,54
41,-52,109
42,139,151
43,41,132
44,109,96
45,15,135
46,-132,160
47,61,37
48,-154,68
49,-27,102
50,100,143
51,-22,103
52,-105,151
53,0,85
54,8,92
55,-87,64
56,136,90
57,61,30
58,81,155
59,160,150
60,-91,2
61,0,44
62,-19,117
63,-124,43
64,51,101
65,84,35
66,74,26
67,160,68
68,-86,120
69,-101,110
70,98,81
71,-93,42
72,-37,59
73,-62,78
74,93,140
75,-143,112
76,-44,98
77,156,67
78,-33,99
79,-29,35
80,118,73
81,-120,31
82,-29,94
83,41,126
84,-79,82
85,-88,20
86,11,124
87,-89,102
88,-82,97
89,27,78
90,-142,160
91,-53,27
92,4,85
93,91,4
94,3,101
95,0,100
96,-5,128
97,-74,109
98,67,105
99,143,116
100,7,156
101,43,118
102,156,153
103,-155,144
104,141,55
105,-2,3
106,112,148
107,-126,129
108,135,120
109,109,131
110,64,103
111,-109,104
112,88,120
113,106,104
114,-126,150
115,62,118
116,74,125
117,-34,90
118,-76,18
119,110,23
120,-96,39
121,-158,74
122,100,93
123,19,19
124,90,47
125,-79,75
126,-11,76
127,139,160
128,-156,136
129,11,4
130,133,43
131,70,97
132,143,128
133,86,103
134,-125,100
135,93,105
136,137,57
137,118,152
138,-111,120
139,-19,31
140,-40,129
141,-53,13
142,-118,159
143,47,57
144,135,41
145,33,148
146,-19,157
147,45,17
148,50,29
149,27,115
150,-53,29
151,-131,95
152,-101,53
153,-158,50
154,111,86
155,148,75
156,-94,45
157,-154,120
158,-23,118
159,89,94
160,-25,25
161,132,108
162,-124,48
163,34,73
164,157,139
165,-31,18
166,90,140
167,105,41
168,99,69
169,-102,128
170,-40,128
171,-92,42
172,-69,58
173,-134,34
174,-144,113
175,-110,98
176,108,53
177,128,52
178,-31,67
179,-148,129
180,-42,54
181,43,24
182,126,47
183,-77,49
184,83,55
185,-47,93
186,-55,158
187,-43,153
188,136,49
189,4,10
190,67,37
191,0,139
192,-60,148
193,106,51
194,-66,37
195,-147,38
196,8,2
197,-101,50
198,-40,109
199,76,15
200,19,68
201,-41,107
202,-69,39
203,-77,77
204,142,104
205,-15,31
206,105,76
207,26,158
208,57,107
209,-127,3
210,63,125
211,-18,55
212,121,122
213,-109,108
214,101,15
215,152,116
216,-33,71
217,-57,79
218,70,133
219,-125,49
220,56,48
221,-105,116
222,67,30
223,25,144
224,-31,42
225,68,68
226,-75,26
227,-124,93
228,85,33
229,-58,52
230,38,57
231,-108,78
232,-104,138
233,65,89
234,-85,19
235,-71,73
236,7,18
237,78,98
238,-21,30
239,-94,138
240,-66,131
241,131,84
242,121,115
243,7,156
244,154,45
245,18,99
246,103,94
247,117,74
248,-37,96
249,31,5
250,45,121
251,113,2
252,-117,4
253,83,67
254,-59,109
255,119,59
256,-140,59
257,-84,146
258,160,79
259,-125,135
260,47,12
261,154,122
262,145,84
263,-103,29
264,134,142
265,-120,118
266,-143,20
267,127,50
268,-143,152
269,106,101
270,62,122
271,-14,140
272,83,146
273,77,63
274,65,134
275,-20,63
276,138,42
277,-38,127
278,-92,8
279,58,124
280,84,102
281,82,155
282,60,70
283,-75,127
284,-41,153
285,-132,51
286,37,108
287,108,148
288,132,4
289,-116,116
290,63,158
291,-80,127
292,-113,141
293,117,84
294,-149,88
295,52,32
296,-11,87
297,-96,160
298,125,60
299,-34,85
300,143,103
301,-145,104
302,153,160
303,-20,35
304,-133,125
305,-116,69
306,122,38
307,-142,67
308,125,70
309,-126,128
310,-43,1
311,34,53
312,-35,70
313,46,7
314,65,132
315,13,60
316,-66,126
317,154,71
318,-59,57
319,-103,39
320,114,54
321,33,136
322,-54,36
323,-160,123
324,-71,14
325,27,144
326,67,138
327,-147,54
328,69,127
329,4,104
330,16,12
331,-128,44
332,69,16
333,66,73
334,-155,51
335,4,90
336,-15,152
337,105,10
338,-12,58
339,-127,33
340,10,132
341,-104,152
342,116,83
343,22,95
344,52,6
345,-62,131
346,-19,64
347,44,82
348,36,79
349,-135,128
350,98,152
351,79,106
352,-82,7
353,138,77
354,1,134
355,-126,159
356,129,136
357,-137,139
358,-30,118
359,-138,35
360,-113,142
361,141,72
362,-5,60
363,154,114
364,-68,103
365,-28,85
366,-91,135
367,-160,144
368,160,134
369,129,38
370,50,97
371,-80,66
372,-55,81
373,-72,117
374,-113,98
375,-4,157
376,34,125
377,106,150
378,-160,57
379,142,8
380,-111,55
381,-37,146
382,134,84
383,32,12
384,-80,4
385,-106,41
386,-153,72
387,-71,73
388,-73,88
389,-64,140
390,-125,120
391,3,77
392,134,30
393,-54,57
394,58,66
395,127,128
396,-56,47
397,6,93
398,84,150
399,-156,21
400,-88,147
401,-95,39
402,-71,52
403,14,100
404,105,129
405,94,89
406,97,158
407,-105,56
408,22,17
409,57,29
410,7,7
411,-94,116
412,-38,75
413,121,112
414,-91,127
415,-108,96
416,31,60
417,-107,152
418,-69,122
419,159,124
420,-38,63
421,9,34
422,-149,67
423,-156,6
424,-85,4
425,-10,70
426,9,59
427,-49,35
428,-103,160
429,-80,54
430,13,152
431,40,39
432,-149,10
433,-48,108
434,16,124
435,-79,62
436,-88,27
437,-25,95
438,-47,63
439,-154,54
440,-126,104
441,-39,134
442,-67,15
443,48,123
444,-91,16
445,-24,41
446,-27,35
447,-38,51
448,-152,91
449,59,19
450,128,94
451,19,62
452,4,140
453,52,18
454,-59,139
455,89,62
456,37,72
457,-10,50
458,-35,73
459,-63,41
460,2,21
461,153,112
462,-132,99
463,72,4
464,-17,154
465,-120,135
466,-107,118
467,132,53
468,-136,28
469,119,65
470,-152,61
471,52,154
472,124,11
473,145,112
474,-159,155
475,-12,37
476,76,5
477,-102,10
478,-132,112
479,5,64
480,-158,108
481,30,133
482,-99,136
483,-89,80
484,21,25
485,3,113
486,142,123
487,-118,98
488,109,79
489,118,101
490,-95,79
491,-87,159
492,-70,82
493,105,64
494,82,129
495,140,74
496,39,8
497,-147,97
498,-1,28
499,97,20
500,145,129
501,-106,1
502,-3,146
503,-36,107
504,68,160
505,8,124
506,140,123
507,-5,88
508,-59,83
509,95,65
510,116,142
511,-25,144
512,-133,85
513,31,57
514,81,94
515,138,49
516,-147,87
517,101,127
518,-70,72
519,-154,48
520,151,90
521,-105,65
522,68,27
523,-48,81
524,114,26
525,20,35
526,53,15
527,-110,7
528,95,138
529,41,31
530,103,64
531,-106,81
532,133,36
533,-63,56
534,-11,105
535,159,43
536,75,155
537,-157,20
538,-86,7
539,83,125
540,-103,116
541,-3,42
542,-147,50
543,14,39
544,-128,131
545,-157,50
546,132,103
547,-148,89
548,-131,83
549,147,54
550,41,13
551,43,57
552,14,44
553,-41,155
554,-2,14
555,62,124
556,75,71
557,-62,14
558,-10,6
559,-11,59
560,-58,40
561,-113,94
562,-149,59
563,0,146
564,31,64
565,104,68
566,75,97
567,78,5
568,-82,37
569,115,120
570,124,83
571,132,122
572,-82,6
573,22,99
574,133,26
575,122,3
576,31,105
577,-112,77
578,58,75
579,-59,115
580,-124,66
581,-38,16
582,-87,144
583,-91,142
584,-21,87
585,-73,85
586,118,148
587,-92,58
588,82,111
589,145,85
590,-151,71
591,115,35
592,-140,55
593,129,46
594,-152,84
595,1,126
596,98,125
597,-70,110
598,85,35
599,39,127
600,-67,129
601,-124,4
602,-50,22
603,49,33
604,39,30
605,-85,66
606,101,100
607,6,140
608,159,18
609,-13,31
610,-46,46
611,14,152
612,-155,54
613,20,154
614,-131,61
615,140,148
616,-4,91
617,-70,147
618,12,75
619,91,52
620,6,28
621,-41,91
622,-146,120
623,-109,33
624,-22,48
625,147,125
626,-9,96
627,-107,49
628,-36,81
629,75,103
630,6,34
631,8,50
632,148,44
633,63,6
634,147,69
635,128,160
636,53,63
637,-79,60
638,150,160
639,-150,104
640,9,63
641,1,156
642,-151,106
643,-30,124
644,-125,98
645,37,106
646,82,108
647,-30,5
648,-81,59
649,61,107
650,-150,24
651,-94,86
652,75,29
653,44,125
654,12,128
655,45,148
656,-74,34
657,156,87
658,-139,79
659,-107,108
660,-2,157
661,13,15
662,-5,7
663,-144,133
664,143,71
665,95,49
666,-10,43
667,97,92
668,-20,96
669,-82,51
670,-125,53
671,98,118
672,-38,21
673,85,3
674,65,138
675,-105,143
676,-74,55
677,-95,86
678,-110,20
679,53,127
680,-125,12
681,-56,20
682,-160,68
683,5,88
684,-147,148
685,157,56
686,-106,124
687,-158,22
688,138,131
689,-92,54
690,84,55
691,-119,65
692,-7,41
693,16,51
694,-18,100
695,-17,57
696,85,74
697,-130,78
698,9,5
699,-110,156
